" con lui "," con lei "
" con lei "," con lui "
" a lui "," a lei "
" a lui "," a lui "
" da lui "," da lei "
" da lei "," da lui "
" su di lui "," su di lei "
" su di lei "," su di lui "
" per lui "," per lei "
" per lei "," per lui "
" lui "," lei "
" di lui "," di lei "
" di lei "," di lui "
" lei "," lui "

